No.,Example name,ID,C,I,E,Nodes,DIR,NOT,AND,OR,NAND,NOR,Relations,EXC,INC,EXC Δ INC,REQ,MSK,Constraints,System requirements
1,Agrawal,10.5120/ijca2017915175,4,3,2,9,1,1,2,1,0,0,5,1,0,0,1,0,2,Not specified
2,Ahmed,10.13140/RG.2.1.1829.2726,2,1,3,6,0,2,2,0,0,0,4,0,0,0,0,0,0,"The name field in the application should not contain any special characters or numbers and its length should not exceed a specific length. If the length of the name is out-of-range an error message will appear, and if the name contains special characters the message “not valid” will appear. Otherwise, the price of the ticket will appear."
3,Ayav,10.1109/QRS-C.2015.31,9,4,4,17,0,2,4,2,0,0,8,2,0,0,0,5,7,"The CHANGE subcommand is used to modify a character string in the current line of the file being edited. Syntax: C /str1/str2. Cause1: The first nonblank character following “C”. Cause2: The command contains exactly two “/” characters. Cause3: Str1 has length one, Cause2: Str1 has length 30, Cause3: Str1 has length 2-29. Cause4: Str2 has length zero, Cause5: Str2 has length 20, Cause6: Str2 has length 1-29. Effect1: The changed line is typed. Effect2: The first occurence of str1 is replaced by str2. Effect3: “Not Found” printed. Effect4: “Invalid Syntax” printed."
4,Badhera,10.5121/IJCSES.2012.3108,4,2,2,8,0,0,2,2,0,0,4,0,0,0,0,0,0,Not specified
5,Bekiroglu,A cause-effect graph software testing tool,5,2,4,11,0,0,6,1,0,0,7,1,0,1,0,6,8,"If the number of registered students for a course is less than 10 in the Engineering Faculty, the course building will be A block. If the number of registered students for a course is between 10 and 50 in the Engineering Faculty, the course building will be B block. If the number of registered students for a course is less than 10 in the Art and Science Faculty, the course building will be B block. If the number of registered students for a course is greater than 50 both for the Engineering Faculty and the Art and Science Faculty, the course building will be D block. A faculty cannot be both the Engineering Faculty and the Art and Science Faculty at the same time."
6,BenderRBT 1,BenderRBT cause-effect graphing user guide,6,2,1,9,0,1,1,1,0,0,3,1,0,0,3,0,4,Not specified
7,BenderRBT 2,BenderRBT cause-effect graphing user guide,4,3,1,8,0,0,1,1,2,0,4,0,0,0,0,0,0,"If either Sally or Sarah go to the party and Sarah and John do not go to the party together and Sally and Bob do not go to the party together, then Harry will go to the party."
8,BenderRBT 3,BenderRBT cause-effect graphing user guide,5,5,1,11,0,0,1,3,2,0,6,0,0,0,0,0,0,"If either Sally or Sarah go to the party and Sarah and John do not go to the party together and Sally and Bob do not go to the party together, then Harry will go to the party. If Tom goes to the party and either Sally or Sarah go to the party, then Harry will go even if Bob and/or John are there."
9,BenderRBT 4,BenderRBT: The Software Quality and Testing Experts,6,9,3,18,1,3,4,4,0,0,12,3,0,0,3,0,6,Not specified
10,Chung 1,10.5392/IJoC.2014.10.3.041,4,2,2,8,1,0,1,1,1,0,4,1,0,0,1,0,2,Not specified
11,Chung 2,10.5392/IJoC.2014.10.3.041,4,2,1,7,0,1,2,0,0,0,3,0,0,0,0,0,0,Not specified
12,Dou,10.1109/SAFEPROCESS45799.2019.9213325,8,0,6,14,0,0,12,0,0,0,12,2,0,0,0,15,17,"2 seconds after speed is below the warning speed, ATP stops sound and light warning. When speed is below the SBI level of braking intervention speed, ATP relieves braking automatically. When speed is below SB4 level of braking intervention speed, ATP relieves braking automatically. When speed is below SB7 level of braking intervention speed, ATP relieves braking automatically and the driver relieves the braking after pressing the ""relief button"". When speed is above EB level of braking intervention speed, ATP stops and pressing ""relief button"" to relieve EB, SB7, SB4, SB1 and the driver stops and pressing ""relief button"" to relieve EB, SB7. "
13,Elmendorf 1,IBM Technical Report TR 00.2089,3,0,2,5,0,0,0,1,1,0,2,1,0,0,0,0,1,Not specified
